,Country,Localite,Category,Value,Date,Healthcare Quality
50483,Sierra Leone,National,Cases,"11,200",2/19/2015,0
50573,Sierra Leone,National,Cases,"11,227",2/20/2015,0
50663,Sierra Leone,National,Cases,"11,253",2/21/2015,0
50753,Sierra Leone,National,Cases,"11,276",2/22/2015,0
50843,Sierra Leone,National,Cases,"5,637",2/24/2015,0
50933,Sierra Leone,National,Cases,"11,316",2/25/2015,0
51023,Sierra Leone,National,Cases,"8,402",2/26/2015,0
51113,Sierra Leone,National,Cases,"9,477",2/28/2015,0
51203,Sierra Leone,National,Cases,"9,491",3/1/2015,0
51293,Sierra Leone,National,Cases,"11,440",3/2/2015,0
51383,Sierra Leone,National,Cases,"11,452",3/3/2015,0
51473,Sierra Leone,National,Cases,"11,471",3/4/2015,0
51563,Sierra Leone,National,Cases,"8,521",3/5/2015,0
51653,Sierra Leone,National,Cases,"11,534",3/6/2015,0
51743,Sierra Leone,National,Cases,"10,624",3/8/2015,0
51833,Sierra Leone,National,Cases,"11,619",3/9/2015,0
51923,Sierra Leone,National,Cases,"10,344",3/10/2015,0
52013,Sierra Leone,National,Cases,"11,651",3/11/2015,0
52149,Guinea,National,Cases,"2,988",2/3/2015,2
52337,Guinea,National,Cases,"2,993",2/4/2015,2
52529,Guinea,National,Cases,"3,005",2/5/2015,2
52721,Guinea,National,Cases,"3,024",2/6/2015,2
52913,Guinea,National,Cases,"3,042",2/7/2015,2
53105,Guinea,National,Cases,"3,081",2/10/2015,2
53297,Guinea,National,Cases,"3,083",2/11/2015,2
53489,Guinea,National,Cases,"3,090",2/12/2015,2
53681,Guinea,National,Cases,"3,099",2/13/2015,2
53873,Guinea,National,Cases,"3,101",2/14/2015,2
54061,Guinea,National,Cases,"3,113",2/16/2015,2
54247,Guinea,National,Cases,"3,115",2/17/2015,2
54433,Guinea,National,Cases,"3,120",2/18/2015,2
54619,Guinea,National,Cases,"3,131",2/19/2015,2
54805,Guinea,National,Cases,"3,149",2/20/2015,2
54991,Guinea,National,Cases,"3,155",2/21/2015,2
55177,Guinea,National,Cases,"3,155",1/22/2015,2
55363,Guinea,National,Cases,"3,175",2/24/2015,2
55549,Guinea,National,Cases,"3,190",2/25/2015,2
55735,Guinea,National,Cases,"3,197",2/26/2015,2
55921,Guinea,National,Cases,"3,197",2/27/2015,2
56107,Guinea,National,Cases,"3,205",2/28/2015,2
56293,Guinea,National,Cases,"3,219",3/1/2015,2
56479,Guinea,National,Cases,"3,230",3/2/2015,2
56665,Guinea,National,Cases,"3,237",3/3/2015,2
56851,Guinea,National,Cases,"3,248",3/4/2015,2
57037,Guinea,National,Cases,"3,259",3/5/2015,2
57223,Guinea,National,Cases,"3,263",3/6/2015,2
57359,Sierra Leone,National,Cases,"11,670",3/12/2015,0
57449,Sierra Leone,National,Cases,"11,681",3/13/2015,0
57539,Sierra Leone,National,Cases,"11,696",3/14/2015,0
57629,Sierra Leone,National,Cases,"10,438",3/16/2015,0
57719,Sierra Leone,National,Cases,"11,743",3/17/2015,0
57809,Sierra Leone,National,Cases,"11,753",3/18/2015,0
57899,Sierra Leone,National,Cases,"11,776",3/20/2015,0
57989,Sierra Leone,National,Cases,"10,746",3/21/2015,0
58079,Sierra Leone,National,Cases,"10,759",3/22/2015,0
58169,Sierra Leone,National,Cases,"10,771",3/23/2015,0
58259,Sierra Leone,National,Cases,"11,828",3/24/2015,0
58349,Sierra Leone,National,Cases,"11,840",3/25/2015,0
58439,Sierra Leone,National,Cases,"11,863",3/26/2015,0
58529,Sierra Leone,National,Cases,"11,881",3/27/2015,0
58619,Sierra Leone,National,Cases,"11,890",3/28/2015,0
