1/1/2015,Guinea,"2,750"
1/1/2015,Liberia,"8,128"
1/1/2015,Sierra Leone,"9,683"
1/10/2015,Guinea,"2,799"
1/10/2015,Liberia,"8,316"
1/10/2015,Sierra Leone,"10,094"
1/11/2015,Guinea,"2,806"
1/11/2015,Liberia,"8,322"
1/11/2015,Sierra Leone,"10,124"
1/12/2015,Liberia,"8,353"
1/12/2015,Sierra Leone,"10,150"
1/13/2015,Guinea,"2,825"
1/13/2015,Liberia,"8,377"
1/13/2015,Sierra Leone,"10,186"
1/14/2015,Guinea,"2,822"
1/14/2015,Liberia,"8,396"
1/14/2015,Sierra Leone,"10,216"
1/15/2015,Guinea,"2,865"
1/15/2015,Liberia,"8,423"
1/15/2015,Sierra Leone,"10,251"
1/16/2015,Guinea,"2,868"
1/16/2015,Liberia,"8,435"
1/16/2015,Sierra Leone,"10,286"
1/17/2015,Guinea,"2,873"
1/17/2015,Liberia,"8,447"
1/17/2015,Sierra Leone,"10,306"
1/18/2015,Guinea,"2,871"
1/18/2015,Liberia,"8,462"
1/18/2015,Sierra Leone,"10,340"
1/19/2015,Guinea,"2,873"
1/19/2015,Liberia,"8,486"
1/19/2015,Sierra Leone,"10,362"
1/2/2015,Guinea,"2,760"
1/2/2015,Liberia,"8,153"
1/2/2015,Sierra Leone,"9,719"
1/20/2015,Guinea,"2,873"
1/20/2015,Liberia,"8,507"
1/20/2015,Sierra Leone,"10,400"
1/21/2015,Guinea,"2,881"
1/21/2015,Sierra Leone,"10,417"
1/22/2015,Guinea,"2,8933,155"
1/22/2015,Sierra Leone,"10,457"
1/23/2015,Guinea,"2,896"
1/23/2015,Sierra Leone,"10,471"
1/24/2015,Guinea,"2,909"
1/24/2015,Liberia,"8,592"
1/24/2015,Sierra Leone,"10,491"
1/25/2015,Guinea,"2,917"
1/25/2015,Liberia,"8,603"
1/25/2015,Sierra Leone,"10,518"
1/26/2015,Guinea,"2,921"
1/26/2015,Sierra Leone,"10,537"
1/27/2015,Guinea,"2,920"
1/27/2015,Sierra Leone,"10,561"
1/28/2015,Guinea,"2,926"
1/28/2015,Liberia,"8,649"
1/29/2015,Guinea,"2,928"
1/29/2015,Liberia,"8,666"
1/29/2015,Sierra Leone,"10,637"
1/3/2015,Guinea,"2,769"
1/3/2015,Liberia,"8,162"
1/3/2015,Sierra Leone,"9,772"
1/30/2015,Guinea,"2,932"
1/31/2015,Guinea,"2,9592,959"
1/31/2015,Liberia,"8,7048,704"
1/31/2015,Sierra Leone,"7,552"
1/4/2015,Guinea,"2,775"
1/4/2015,Liberia,"8,170"
1/4/2015,Sierra Leone,"9,780"
1/5/2015,Guinea,"2,776"
1/5/2015,Liberia,"8,218"
1/5/2015,Sierra Leone,"9,890"
1/6/2015,Liberia,"8,256"
1/6/2015,Sierra Leone,"9,930"
1/7/2015,Guinea,"2,793"
1/7/2015,Sierra Leone,"9,973"
1/8/2015,Guinea,"2,797"
1/8/2015,Sierra Leone,"10,009"
1/9/2015,Guinea,"2,798"
